,Dist_Metric,K,Accuracy,Precision_macro,Precision_micro,Recall_macro,Recall_micro,f1_macro,f1_micro
0,l1,1,35.71033108182925,0.3484862311687943,0.3571033108182925,0.3441961731748051,0.3571033108182925,0.3463279171529539,0.3571033108182925
1,l1,5,34.73590964455763,0.3695058198623174,0.3473590964455763,0.3217896258609054,0.3473590964455763,0.3440009340797192,0.3473590964455763
2,l1,10,36.10895803344037,0.3542911876258703,0.3610895803344037,0.3326515990114046,0.3610895803344037,0.3431305557667246,0.3610895803344037
3,l1,15,36.88406599490644,0.35785699890258,0.3688406599490643,0.3366058792205233,0.3688406599490643,0.3469062884293381,0.3688406599490643
4,l1,35,36.319344480124016,0.3587057890047787,0.3631934448012401,0.3284007743067547,0.3631934448012401,0.3428849763557698,0.3631934448012401
5,l1,50,35.30063115934005,0.3473833004207901,0.3530063115934005,0.3167786922175231,0.3530063115934005,0.3313758656028123,0.3530063115934005
6,l1,65,34.56981508138634,0.3337768811820019,0.3456981508138633,0.3081755753767319,0.3456981508138633,0.3204657334193204,0.3456981508138633
7,l1,80,34.33728269294652,0.3362862617443254,0.3433728269294652,0.3054630548054571,0.3433728269294652,0.3201344392660857,0.3433728269294652
8,l1,100,33.82792603255454,0.326249679475641,0.3382792603255453,0.2998496783944452,0.3382792603255453,0.3124930899142062,0.3382792603255453
9,l1,150,32.98638024581995,0.322264514386371,0.3298638024581995,0.2917929256162012,0.3298638024581995,0.3062726688066499,0.3298638024581995
10,l1,200,32.532388439818405,0.3226257640777329,0.325323884398184,0.2872903984895128,0.325323884398184,0.3039345077682091,0.325323884398184
11,l2,1,32.000885837670246,0.3096269912995949,0.3200088583767024,0.307499876203211,0.3200088583767024,0.308559767877438,0.3200088583767024
12,l2,5,30.58354556527516,0.3238350268577137,0.3058354556527516,0.2837180590922956,0.3058354556527516,0.3024520734431158,0.3058354556527516
13,l2,10,31.02646440039863,0.3028379265835645,0.3102646440039863,0.2846760078137945,0.3102646440039863,0.2934762459475844,0.3102646440039863
14,l2,15,31.258996788838445,0.3033717985193451,0.3125899678883844,0.284835924015919,0.3125899678883844,0.2938118057314297,0.3125899678883844
15,l2,35,30.45066991473813,0.290788032177745,0.3045066991473812,0.2734467417087938,0.3045066991473812,0.2818509018123928,0.3045066991473812
16,l2,50,30.46174288561621,0.288493145122471,0.3046174288561621,0.2718999782808207,0.3046174288561621,0.2799509009553445,0.3046174288561621
17,l2,65,29.9745321669804,0.2879218527669278,0.299745321669804,0.2663374976791499,0.299745321669804,0.2767093987007029,0.299745321669804
18,l2,80,29.210497176392423,0.2676479452132144,0.2921049717639242,0.2581815292299997,0.2921049717639242,0.2628295261066708,0.2921049717639242
19,l2,100,28.867235079171746,0.2663263759523382,0.2886723507917174,0.2540928660171148,0.2886723507917174,0.2600658342515834,0.2886723507917174
20,l2,150,28.02568929243716,0.2596171248015998,0.2802568929243716,0.2458591970290124,0.2802568929243716,0.2525509310012419,0.2802568929243716
21,l2,200,27.35023806887388,0.2533756828995693,0.2735023806887388,0.2390421227226705,0.2735023806887388,0.2460002883530327,0.2735023806887388
22,cosine,1,7.418890488318016,0.07337222965966755,0.07418890488318015,0.06457290236592174,0.07418890488318015,0.0686919176140962,0.07418890488318015
23,cosine,5,7.618203964123574,0.07731397220361064,0.07618203964123574,0.06510325739934603,0.07618203964123574,0.07068514739361355,0.07618203964123574
24,cosine,10,8.016830915734692,0.08433771929209917,0.08016830915734692,0.06875273262348262,0.08016830915734692,0.07575193086191225,0.08016830915734692
25,cosine,15,8.260436275052596,0.08551213133734772,0.08260436275052596,0.07039644448412873,0.08260436275052596,0.07722153800316996,0.08260436275052596
26,cosine,35,8.946960469493966,0.09599480257616272,0.08946960469493966,0.07735532342628591,0.08946960469493966,0.08567295763507712,0.08946960469493966
27,cosine,50,9.367733362861255,0.09866072186998974,0.09367733362861255,0.0802541853349461,0.09367733362861255,0.08851063314879877,0.09367733362861255
28,cosine,65,10.076403499058797,0.10076433575805478,0.10076403499058798,0.08635588706920987,0.10076403499058798,0.09300537876506468,0.10076403499058796
29,cosine,80,10.519322334182261,0.1059872567511712,0.10519322334182261,0.09035190494987573,0.10519322334182261,0.09754702490235632,0.10519322334182261
30,cosine,100,10.663270955597387,0.11499458185854797,0.10663270955597387,0.09145780375933121,0.10663270955597387,0.10188452770385059,0.10663270955597387
31,cosine,150,11.117262761598937,0.12306465043295514,0.11117262761598937,0.09453018716292504,0.11117262761598937,0.10692647460849,0.11117262761598937
32,cosine,200,11.571254567600487,0.12349064947127837,0.11571254567600488,0.09900407616271033,0.11571254567600488,0.10989993251120313,0.11571254567600486
