,Dist_Metric,K,Accuracy,Precision_macro,Precision_micro,Recall_macro,Recall_micro,f1_macro,f1_micro
0,l1,1,30.45066991473813,0.2941034727150159,0.3045066991473812,0.2953800633518573,0.3045066991473812,0.2947403857355823,0.3045066991473812
1,l1,5,28.80079725390322,0.3011538606729126,0.2880079725390322,0.2676772829005351,0.2880079725390322,0.2834304980332811,0.2880079725390322
2,l1,10,29.53161333185694,0.2834074007905684,0.2953161333185694,0.271532710480539,0.2953161333185694,0.2773430074486456,0.2953161333185694
3,l1,15,29.96345919610232,0.2848549639280976,0.2996345919610231,0.274661155524285,0.2996345919610231,0.2796651993722525,0.2996345919610231
4,l1,35,29.764145720296757,0.2698270489774687,0.2976414572029675,0.2686284168842416,0.2976414572029675,0.2692263988196928,0.2976414572029675
5,l1,50,29.55375927361311,0.2676183247089008,0.2955375927361311,0.2660502394484656,0.2955375927361311,0.2668319783160587,0.2955375927361311
6,l1,65,29.62019709888163,0.2667973820523546,0.2962019709888163,0.2665030776487137,0.2962019709888163,0.2666501486438893,0.2962019709888163
7,l1,80,29.155132322001997,0.2589584711712928,0.2915513232200199,0.2603949324651797,0.2915513232200199,0.2596747152893771,0.2915513232200199
8,l1,100,28.93367290444026,0.2597024689704472,0.2893367290444026,0.257486952835485,0.2893367290444026,0.2585899655316018,0.2893367290444026
9,l1,150,28.147491972096116,0.2568907210358213,0.2814749197209611,0.2491639963767745,0.2814749197209611,0.2529683707432354,0.2814749197209611
10,l1,200,27.815302845753514,0.2501987041212612,0.2781530284575351,0.2448207771536043,0.2781530284575351,0.2474805275462682,0.2781530284575351
11,l2,1,28.147491972096116,0.271933396982998,0.2814749197209611,0.2732150132726472,0.2814749197209611,0.2725726986203441,0.2814749197209611
12,l2,5,26.254013951943307,0.2714048421694303,0.262540139519433,0.2449520847405641,0.262540139519433,0.2575008813997144,0.262540139519433
13,l2,10,27.206289447458754,0.2571436395251282,0.2720628944745875,0.2503866085338461,0.2720628944745875,0.2537201439834783,0.2720628944745875
14,l2,15,27.44989480677666,0.2547648678550667,0.2744989480677666,0.2517330569201003,0.2744989480677666,0.2532398884337766,0.2744989480677666
15,l2,35,26.90731923375041,0.2414721680635207,0.2690731923375041,0.2432494185999292,0.2690731923375041,0.2423575351526423,0.2690731923375041
16,l2,50,26.431181485992692,0.2357531530081008,0.2643118148599269,0.2375736210023536,0.2643118148599269,0.2366598861429265,0.2643118148599269
17,l2,65,26.110065330528183,0.2364616873992849,0.2611006533052818,0.2339139806507382,0.2611006533052818,0.2351809344231427,0.2611006533052818
18,l2,80,25.82216808769793,0.2319193961453095,0.2582216808769793,0.231075558396228,0.2582216808769793,0.2314967082967877,0.2582216808769793
19,l2,100,25.368176281696385,0.2250430222458628,0.2536817628169638,0.2246110630506757,0.2536817628169638,0.2248268351679501,0.2536817628169638
20,l2,150,24.96954933008526,0.2215154826222188,0.2496954933008526,0.2198258208674159,0.2496954933008526,0.220667417335503,0.2496954933008526
21,l2,200,24.438046727937103,0.2093239724873824,0.244380467279371,0.2147707472231441,0.244380467279371,0.212012382580561,0.244380467279371
22,cosine,1,7.175285129000112,0.06710974949976035,0.07175285129000111,0.06323520925404,0.07175285129000111,0.0651148934822893,0.07175285129000111
23,cosine,5,8.127560624515558,0.09785313410231151,0.08127560624515558,0.06986023165889647,0.08127560624515558,0.08152054650992781,0.08127560624515558
24,cosine,10,8.714428081054146,0.09495430164480684,0.08714428081054147,0.07491558561043599,0.08714428081054147,0.08375300918710815,0.08714428081054147
25,cosine,15,9.146273945299525,0.10053499197245137,0.09146273945299524,0.07973274119996819,0.09146273945299524,0.08893361396865626,0.09146273945299524
26,cosine,35,9.733141401838113,0.11345873110993289,0.09733141401838113,0.08554141133515147,0.09733141401838113,0.0975418396006164,0.09733141401838113
27,cosine,50,10.807219577012512,0.11369979770442043,0.10807219577012513,0.09526895823919618,0.10807219577012513,0.10367158698336858,0.10807219577012514
28,cosine,65,11.017606023696159,0.09953264174271743,0.11017606023696158,0.09670276211353844,0.11017606023696158,0.09809729730552093,0.1101760602369616
29,cosine,80,11.20584652862363,0.09340257729323832,0.1120584652862363,0.09812677727937878,0.1120584652862363,0.09570641450575763,0.1120584652862363
30,cosine,100,11.538035654966228,0.09804003098290409,0.11538035654966228,0.10145230619450542,0.11538035654966228,0.09971698545745156,0.11538035654966228
31,cosine,150,11.715203189015613,0.10844760267137576,0.11715203189015613,0.1027414393527464,0.11715203189015613,0.10551743296926587,0.11715203189015613
32,cosine,200,11.648765363747094,0.10397811672480563,0.11648765363747093,0.10087997991395255,0.11648765363747093,0.10240562124508656,0.11648765363747093
