,Dist_Metric,K,Accuracy,Precision_macro,Precision_micro,Recall_macro,Recall_micro,f1_macro,f1_micro
0,l1,1,35.71033108182925,0.34848623116879435,0.35710331081829255,0.34419617317480516,0.35710331081829255,0.3463279171529539,0.35710331081829255
1,l1,5,34.73590964455763,0.3695058198623174,0.34735909644557633,0.3217896258609054,0.34735909644557633,0.3440009340797192,0.34735909644557633
2,l1,10,36.10895803344037,0.3542911876258703,0.36108958033440375,0.3326515990114046,0.36108958033440375,0.3431305557667246,0.36108958033440375
3,l1,15,36.884065994906436,0.35785699890258005,0.36884065994906434,0.3366058792205233,0.36884065994906434,0.3469062884293381,0.36884065994906434
4,l1,35,36.319344480124016,0.3587057890047787,0.36319344480124016,0.3284007743067547,0.36319344480124016,0.3428849763557698,0.36319344480124016
5,l1,50,35.30063115934005,0.34738330042079013,0.3530063115934005,0.31677869221752314,0.3530063115934005,0.3313758656028123,0.3530063115934005
6,l1,65,34.56981508138634,0.33377688118200194,0.34569815081386335,0.30817557537673196,0.34569815081386335,0.32046573341932044,0.34569815081386335
7,l1,80,34.337282692946516,0.3362862617443254,0.3433728269294652,0.3054630548054571,0.3433728269294652,0.3201344392660857,0.3433728269294652
8,l1,100,33.82792603255454,0.32624967947564104,0.33827926032554534,0.29984967839444526,0.33827926032554534,0.3124930899142062,0.33827926032554534
9,l1,150,32.98638024581995,0.32226451438637105,0.3298638024581995,0.2917929256162012,0.3298638024581995,0.30627266880664994,0.3298638024581995
10,l1,200,32.532388439818405,0.3226257640777329,0.32532388439818405,0.2872903984895128,0.32532388439818405,0.30393450776820913,0.32532388439818405
11,l2,1,32.000885837670246,0.3096269912995949,0.32000885837670245,0.30749987620321106,0.32000885837670245,0.30855976787743805,0.32000885837670245
12,l2,5,30.58354556527516,0.3238350268577137,0.3058354556527516,0.2837180590922956,0.3058354556527516,0.3024520734431158,0.3058354556527516
13,l2,10,31.02646440039863,0.30283792658356457,0.3102646440039863,0.28467600781379454,0.3102646440039863,0.2934762459475844,0.3102646440039863
14,l2,15,31.258996788838445,0.30337179851934515,0.31258996788838445,0.284835924015919,0.31258996788838445,0.29381180573142973,0.31258996788838445
15,l2,35,30.45066991473813,0.290788032177745,0.30450669914738127,0.27344674170879385,0.30450669914738127,0.28185090181239286,0.30450669914738127
16,l2,50,30.46174288561621,0.28849314512247104,0.3046174288561621,0.2718999782808207,0.3046174288561621,0.2799509009553445,0.3046174288561621
17,l2,65,29.9745321669804,0.2879218527669278,0.299745321669804,0.2663374976791499,0.299745321669804,0.2767093987007029,0.299745321669804
18,l2,80,29.210497176392426,0.2676479452132144,0.29210497176392425,0.2581815292299997,0.29210497176392425,0.2628295261066708,0.29210497176392425
19,l2,100,28.867235079171742,0.26632637595233827,0.28867235079171744,0.2540928660171148,0.28867235079171744,0.2600658342515834,0.28867235079171744
20,l2,150,28.02568929243716,0.2596171248015998,0.2802568929243716,0.24585919702901243,0.2802568929243716,0.25255093100124193,0.2802568929243716
21,l2,200,27.350238068873878,0.2533756828995693,0.2735023806887388,0.23904212272267056,0.2735023806887388,0.2460002883530327,0.2735023806887388
